velocity_calc,error,status,nano,time
-95.23383333333334,0.0,0.0,377710243.0,2022-12-12 07:09:45
5.833333332601191e-05,0.0,0.0,572650415.125,2022-12-12 07:09:56
0.0,0.0,0.0,504004917.0,2022-12-12 07:09:57
0.0001333333333165,0.0,0.0,328937912.28571427,2022-12-12 07:09:58
4.666666666666667e-05,0.0,0.0,468866996.8,2022-12-12 07:09:59
0.0,0.0,0.0,456481669.7777778,2022-12-12 07:10:00
8.749999998535714e-05,0.0,0.0,622657236.625,2022-12-12 07:10:01
8.749999999267857e-05,0.0,0.0,603873988.875,2022-12-12 07:10:02
0.0001399999999824,0.0,0.0,543837213.9,2022-12-12 07:10:03
9.333333332161904e-05,0.0,0.0,548938172.0,2022-12-12 07:10:04
0.0001749999999804,0.0,0.0,558356377.5833334,2022-12-12 07:10:05
6.363636362571428e-05,0.0,0.0,447683743.1818182,2022-12-12 07:10:06
0.0001272727272688,0.0,0.0,475020937.3636364,2022-12-12 07:10:07
3.3333333333333335e-05,0.0,0.0,408076113.4285714,2022-12-12 07:10:08
0.0001749999999804,0.0,0.0,533494057.5833333,2022-12-12 07:10:09
0.0001166666666623,0.0,0.0,538915733.9,2022-12-12 07:10:10
6.666666665829933e-05,0.0,0.0,500347320.4285714,2022-12-12 07:10:11
0.000116666666652,0.0,0.0,516329033.625,2022-12-12 07:10:12
0.000699999999984,0.0,0.0,406082514.1818182,2022-12-12 07:10:13
-0.0065333333333333,0.0,0.0,29363202.0,2022-12-12 07:10:23
0.0,0.0,0.0,460082668.2,2022-12-12 07:11:19
0.0001166666666471,0.0,0.0,471535076.6666667,2022-12-12 07:11:20
5.185185184534391e-05,0.0,0.0,424146270.5555556,2022-12-12 07:11:21
-6.776263578034403e-21,0.0,0.0,448211425.125,2022-12-12 07:11:22
0.0001037037036989,0.0,0.0,618291714.7777778,2022-12-12 07:11:23
4.242424241891775e-05,0.0,0.0,461316801.45454544,2022-12-12 07:11:24
-1.0192394888156042e-14,0.0,0.0,544886324.8461539,2022-12-12 07:11:25
-2.1212121206796532e-05,0.0,0.0,552491951.0,2022-12-12 07:11:26
4.242424242565076e-05,0.0,0.0,497773754.3636364,2022-12-12 07:11:27
-7.777777778035973e-05,0.0,0.0,429791553.0,2022-12-12 07:11:28
3.3333333324965984e-05,0.0,0.0,301342091.0,2022-12-12 07:11:29
0.0,0.0,0.0,467479962.5,2022-12-12 07:11:30
0.0,0.0,0.0,336440656.75,2022-12-12 07:11:31
0.0,0.0,0.0,480584328.0833333,2022-12-12 07:11:32
-3.0116727013486236e-21,0.0,0.0,479545322.1111111,2022-12-12 07:11:34
5.83333333352698e-05,0.0,0.0,624098555.25,2022-12-12 07:11:35
0.0052666666666666,0.0,0.0,515178331.64285713,2022-12-12 07:11:36
0.0455999999999999,0.0,0.0,515559203.64285713,2022-12-12 07:11:37
0.1675499999999999,0.0,0.0,515270885.4285714,2022-12-12 07:11:38
0.1246999999999999,0.0,0.0,515149881.2142857,2022-12-12 07:11:39
0.2165333333333332,0.0,0.0,515450807.7857143,2022-12-12 07:11:40
0.2308833333333333,0.0,0.0,515935393.5,2022-12-12 07:11:41
0.2671499999999999,0.0,0.0,515689627.2142857,2022-12-12 07:11:42
0.3244333333333333,0.0,0.0,515881625.85714287,2022-12-12 07:11:43
0.3376000000000001,0.0,0.0,515627730.9285714,2022-12-12 07:11:44
0.3975666666666665,0.0,0.0,515778519.0,2022-12-12 07:11:45
0.4266666666666667,0.0,0.0,515776955.64285713,2022-12-12 07:11:46
0.4665166666666665,0.0,0.0,515814445.5,2022-12-12 07:11:47
0.5198166666666666,0.0,0.0,515390898.14285713,2022-12-12 07:11:48
0.5331333333333337,0.0,0.0,515349680.2142857,2022-12-12 07:11:49
0.6085166666666666,0.0,0.0,515628266.2857143,2022-12-12 07:11:50
0.6135333333333335,0.0,0.0,515329836.4285714,2022-12-12 07:11:51
0.6665833333333329,0.0,0.0,515386855.64285713,2022-12-12 07:11:52
0.7098500000000005,0.0,0.0,515476808.35714287,2022-12-12 07:11:53
0.7359871794871788,0.0,0.0,529569423.7692308,2022-12-12 07:11:54
0.7885948717948718,0.0,0.0,494871861.2307692,2022-12-12 07:11:55
0.8162833333333335,0.0,0.0,515324565.0714286,2022-12-12 07:11:56
0.8587999999999998,0.0,0.0,515490196.7857143,2022-12-12 07:11:57
0.9005333333333343,0.0,0.0,515602775.35714287,2022-12-12 07:11:58
0.9355166666666648,0.0,0.0,515851029.5,2022-12-12 07:11:59
0.9747833333333348,0.0,0.0,515641660.5,2022-12-12 07:12:00
