dataset,type,mean,median,std_dev,quartiles,percentiles,mode,skewness,kurtosis,corr,freq
torque,original,45.174657897104225,44.4,8.756278238268434,"[42.9, 44.4, 46.0]","[0.1, 40.9, 41.6, 42.9, 44.4, 46.0, 48.0, 51.4, 89.4]",[[43.9]],[1.10037098],[19.77176161],[[1.0]],"[0.0011111111111111111, 0.19444444444444445, 0.1988888888888889, 0.19777777777777777, 0.19777777777777777, 0.2011111111111111]"

torque,mean,45.07198675397533,44.349999999999994,8.950066525533066,"[43.0, 44.349999999999994, 45.9]","[0.05, 41.25, 41.85, 43.0, 44.349999999999994, 45.9, 47.65, 51.3, 89.44999999999999]",[[44.3]],[0.76553916],[19.1483814],[[1.0]],"[0.0011111111111111111, 0.3888888888888889, 0.3888888888888889, 0.3888888888888889, 0.3888888888888889, 0.3888888888888889]"

velocity_calc,original,23.33287348808187,23.33286666666667,0.004926637481109201,"[23.33053333333334, 23.33286666666667, 23.33520000000006]","[23.3254, 23.327500000000004, 23.32866666666665, 23.33053333333334, 23.33286666666667, 23.33520000000006, 23.3373, 23.33846666666657, 23.340333333333295]",[[23.33333333333333]],[-35.84800343],[2544.53524342],[[1.0]],"[0.028888888888888888, 0.028888888888888888, 0.028888888888888888, 0.027777777777777776, 0.028888888888888888]"

velocity_calc,mean,23.33287258937695,23.33291666666667,0.004174721108627429,"[23.33125, 23.33291666666667, 23.334566666666667]","[23.32878333333333, 23.32968333333334, 23.3302, 23.33125, 23.33291666666667, 23.334566666666667, 23.335648717948718, 23.33618333333333, 23.337100000000003]",[[23.331]],[-59.15712881],[4987.09259837],[[1.0]],"[0.3888888888888889, 0.3888888888888889, 0.3888888888888889, 0.3888888888888889, 0.3888888888888889]"

