dataset,rmse,mape,r2,r2-adj,time_added
torque,0.8795153251058748,1.6267768166331298,0.4791315939688545,0.47912555946261537,2023-03-27 14:21:41
motor_temperature,0.08583586945361561,0.13990942408208457,0.5970209989765944,0.5970160689667948,2023-05-10 17:47:01
velocity_calc,0.0020101365047055122,0.007323131914071401,-0.02780004895668653,-0.027810460115902602,2023-05-15 22:24:44
