torque,error,status,nano,time
42.25,0.0,0.0,336366965.5,2022-12-17 00:01:29
42.900000000000006,0.0,0.0,336336200.5,2022-12-17 00:01:30
43.75,0.0,0.0,336335572.0,2022-12-17 00:01:31
41.95,0.0,0.0,336206156.0,2022-12-17 00:01:32
44.25,0.0,0.0,336498694.5,2022-12-17 00:01:33
42.25,0.0,0.0,336496292.0,2022-12-17 00:01:34
42.85,0.0,0.0,336503830.0,2022-12-17 00:01:35
43.65,0.0,0.0,336624563.0,2022-12-17 00:01:36
42.3,0.0,0.0,336680507.5,2022-12-17 00:01:37
43.35,0.0,0.0,337248747.0,2022-12-17 00:01:38
43.400000000000006,0.0,0.0,336813877.5,2022-12-17 00:01:39
42.0,0.0,0.0,336327083.0,2022-12-17 00:01:40
43.55,0.0,0.0,336422304.0,2022-12-17 00:01:41
41.95,0.0,0.0,336369751.5,2022-12-17 00:01:42
43.3,0.0,0.0,336348413.5,2022-12-17 00:01:43
44.8,0.0,0.0,86220183.0,2022-12-17 00:01:44
42.75,0.0,0.0,336345632.0,2022-12-17 00:01:45
45.1,0.0,0.0,336346672.0,2022-12-17 00:01:46
43.75,0.0,0.0,336400090.5,2022-12-17 00:01:47
42.55,0.0,0.0,336528054.5,2022-12-17 00:01:48
45.4,0.0,0.0,86600876.0,2022-12-17 00:01:49
41.7,0.0,0.0,336656246.5,2022-12-17 00:01:50
44.85,0.0,0.0,336793710.5,2022-12-17 00:01:51
43.65,0.0,0.0,337622217.5,2022-12-17 00:01:52
42.8,0.0,0.0,336423167.5,2022-12-17 00:01:53
45.4,0.0,0.0,336455489.0,2022-12-17 00:01:54
41.55,0.0,0.0,336385860.0,2022-12-17 00:01:55
44.0,0.0,0.0,336256588.0,2022-12-17 00:01:56
43.6,0.0,0.0,336355221.0,2022-12-17 00:01:57
42.8,0.0,0.0,336365657.0,2022-12-17 00:01:58
44.85,0.0,0.0,336357838.0,2022-12-17 00:01:59
43.0,0.0,0.0,336372231.5,2022-12-17 00:02:00
42.15,0.0,0.0,336541432.0,2022-12-17 00:02:01
44.25,0.0,0.0,336656743.5,2022-12-17 00:02:02
41.6,0.0,0.0,336715354.0,2022-12-17 00:02:03
42.85,0.0,0.0,336835674.0,2022-12-17 00:02:04
42.75,0.0,0.0,337894881.5,2022-12-17 00:02:05
41.1,0.0,0.0,337112434.5,2022-12-17 00:02:06
44.25,0.0,0.0,336390944.5,2022-12-17 00:02:07
41.0,0.0,0.0,336426636.0,2022-12-17 00:02:08
42.7,0.0,0.0,336416061.0,2022-12-17 00:02:09
43.05,0.0,0.0,336393308.0,2022-12-17 00:02:10
41.5,0.0,0.0,336420519.5,2022-12-17 00:02:11
44.75,0.0,0.0,336444309.0,2022-12-17 00:02:12
40.95,0.0,0.0,336464339.0,2022-12-17 00:02:13
43.400000000000006,0.0,0.0,336526167.5,2022-12-17 00:02:14
43.400000000000006,0.0,0.0,336596306.5,2022-12-17 00:02:15
41.650000000000006,0.0,0.0,336832813.0,2022-12-17 00:02:16
45.0,0.0,0.0,337346017.0,2022-12-17 00:02:17
41.95,0.0,0.0,336843789.5,2022-12-17 00:02:18
43.25,0.0,0.0,336979712.0,2022-12-17 00:02:19
43.8,0.0,0.0,337499313.5,2022-12-17 00:02:20
43.1,0.0,0.0,336429493.5,2022-12-17 00:02:21
45.150000000000006,0.0,0.0,336527026.5,2022-12-17 00:02:22
43.9,0.0,0.0,336503450.5,2022-12-17 00:02:23
45.1,0.0,0.0,336496466.0,2022-12-17 00:02:24
46.2,0.0,0.0,336509175.0,2022-12-17 00:02:25
44.650000000000006,0.0,0.0,336565616.0,2022-12-17 00:02:26
45.7,0.0,0.0,336590732.5,2022-12-17 00:02:27
45.0,0.0,0.0,586692189.0,2022-12-17 00:02:28
42.95,0.0,0.0,336799233.0,2022-12-17 00:02:29
45.45,0.0,0.0,337326826.0,2022-12-17 00:02:30
