velocity_calc,status,error,nano,time
15.00193333333333,0.0,0.0,493551667.5714286,2022-12-12 09:45:39
14.99875,0.0,0.0,493525003.7142857,2022-12-12 09:45:40
14.999883333333331,0.0,0.0,493557276.7857143,2022-12-12 09:45:41
15.00085,0.0,0.0,493641124.9285714,2022-12-12 09:45:42
14.99811666666666,0.0,0.0,493705679.7142857,2022-12-12 09:45:43
15.001566666666672,0.0,0.0,493750733.64285713,2022-12-12 09:45:44
15.000233333333332,0.0,0.0,493788834.64285713,2022-12-12 09:45:45
14.998800000000005,0.0,0.0,493897346.0714286,2022-12-12 09:45:46
15.000950000000003,0.0,0.0,494066386.2857143,2022-12-12 09:45:47
14.999899999999997,0.0,0.0,494143053.85714287,2022-12-12 09:45:48
14.999716666666668,0.0,0.0,494438540.14285713,2022-12-12 09:45:49
15.000033333333334,0.0,0.0,494258659.7142857,2022-12-12 09:45:50
14.998766666666668,0.0,0.0,493755078.7857143,2022-12-12 09:45:51
15.001249999999995,0.0,0.0,493653985.4285714,2022-12-12 09:45:52
14.999616666666666,0.0,0.0,493702672.5,2022-12-12 09:45:53
14.999266666666667,0.0,0.0,493763886.35714287,2022-12-12 09:45:54
15.000716666666666,0.0,0.0,493633458.9285714,2022-12-12 09:45:55
14.999483333333334,0.0,0.0,493815609.5714286,2022-12-12 09:45:56
15.000383333333332,0.0,0.0,493817749.0714286,2022-12-12 09:45:57
14.999650000000004,0.0,0.0,493797072.2857143,2022-12-12 09:45:58
14.999099999999991,0.0,0.0,494177769.0,2022-12-12 09:45:59
15.001483333333338,0.0,0.0,494032501.5,2022-12-12 09:46:00
14.999733333333332,0.0,0.0,494247916.9285714,2022-12-12 09:46:01
14.999384615384615,0.0,0.0,511657048.5384616,2022-12-12 09:46:02
15.000483333333332,0.0,0.0,494287553.35714287,2022-12-12 09:46:03
15.000366666666668,0.0,0.0,494568656.14285713,2022-12-12 09:46:04
15.000466666666668,0.0,0.0,493880913.9285714,2022-12-12 09:46:05
